id,english,česky
1193,nemluvňata,babes
1194,koule,balls
1195,kameník,mason
1196,váčky,bags
1197,karty,cards
1198,pouta,chains
1199,hranolky,chips
1200,okolnosti2,circumstances
1201,náklady,costs
1202,nezbytnosti,essentials
1203,vojenské,exercises
1204,dodatečné,extras
1205,about,feelings
1206,pozemky,grounds
1207,nejdůležitější,highlights
1208,mládež,kids
1209,číča,pussy
1210,listiny,papers
1211,řada,series
1212,tenisky,pumps
1213,móda,fashion
1214,světové,points
1215,přístupný,accessible
1216,přidat,add
1217,sčítání,addition
1218,přizpůsobit,adjust
1219,připustit,admit
1220,přijmout,adopt
1221,přijetí,adoption
1222,postoupit,advance
1223,pokročilý,advanced
1224,reklama,advertisement
1225,dovolit,afford
1226,věk,age
1227,souhlas,agreement
1228,před,ahead
1229,cíl,aim
1230,vzduch,air
1231,střídat,alternate
1232,náhradní,alternative
1233,amatér,amateur
1234,množství,amount
1235,rozbor,analysis
1236,analytik,analyst
1237,rozebrat,analyze
1238,antický,ancient
1239,každoroční,annual
1240,odpovědět,answer
1241,starožitný,antique
1242,zdánlivý,apparent
1243,naléhavá,appeal
1244,zdát,appear
1245,vzhled,appearance
1246,žádost,application
1247,jmenování,appointment
1248,vážit,appreciate
1249,oblast,area
1250,argument,argument
1251,projektant,architect
1252,stavitelství,architecture
1253,paže,arm
1254,zbraně,arms
1255,uspořádaný,arranged
1256,dohoda,arrangement
1257,obžalovaný,accused
1258,výtvarné,art
1259,článek,article
1260,umělý,artificial
1261,pomáhat,assist
1262,spojovat,associate
1263,spojený,associated
1264,sdružení,association
1265,předpokládat,assume
1266,připevnit,attach
1267,lpící,attached
1268,příloha,attachment
1269,postoj,attitude
1270,přisuzovat,attribute
1271,dražba,auction
1272,obecenstvo,audience
1273,pravomoc,authority
1274,automatický,automatic
1275,dostupný,available
1276,průměr,average
1277,vyhnout,avoid
1278,ocenění,award
1279,ohromný,awesome
1280,držet,balance
1281,zakázat,ban
1282,páska,band
1283,výhodná,bargain
1284,základ,basis
1285,fazol,bean
1286,začátek,beginning
1287,chování,behavior
1288,víra,belief
1289,přijet,arrive
1290,ohnout,bend
1291,užitek,benefit
1292,nejlepší,best
1293,lepší,better
1294,velký,big
1295,účet,bill
1296,blok,block
1297,dmýchat,blow
1298,deska,board
1299,pouto,bond
1300,knížka,book
1301,hranice,border
1302,šéf,boss
1303,spodek,bottom
1304,mísa,bowl
1305,mozek,brain
1306,značka,brand
1307,most,bridge
1308,krátký,brief
1309,přivést,bring
1310,široký,broad
1311,širokopásmové,broadband
1312,vysílání,broadcast
1313,podnikání,business
1314,schopný,capable
1315,kapitán,captain
1316,životní,career
1317,kreslený,cartoon
1318,hotovost,cash
1319,nenucený,casual
1320,katalog,catalogue
1321,chytit,catch
1322,příčina,cause
1323,století,century
1324,jistý,certain
1325,osvědčení,certificate
1326,občan,citizen
1327,občanský,civil
1328,tvrdit,claim
1329,třída,class
1330,klasický,classic
1331,utajovaný,classified
1332,čistý,clean
1333,jasný,clear
1334,cvaknout,click
1335,zákazník,client
1336,klinika,clinic
1337,látka,cloth
1338,klub,club
1339,trenér,coach
1340,mince,coin
1341,sbírat,collect
1342,sebraný,collected
1343,sbírka,collection
1344,společný,collective
1345,sběratel,collector
1346,pohodlí,comfort
1347,nadcházející,coming
1348,poručit,command
1349,spáchat,commit
1350,běžný,common
1351,kompaktní,compact
1352,společník,companion
1353,společnost,company
1354,srovnání,comparison
1355,soutěžit,compete
1356,konkureční,competitive
1357,mající,concerned
1358,koncert,concert
1359,závěr,conclusion
1360,stav,condition
1361,vést,conduct
1362,potvrdit,confirm
1363,střet,conflict
1364,spojit,connect
1365,vztah,connection
1366,ochrana,conservation
1367,konzervativní,conservative
1368,považovat,consider
1369,zvážení,consideration
1370,vzhledem,considering
1371,důsledný,consistent
1372,utěšit,console
1373,primář,consultant
1374,styk,contact
1375,obsahovat,contain
1376,současný,contemporary
1377,obsah,content
1378,pokračovat,continue
1379,nepřetržitý,continuous
1380,smlouva,contract
1381,přispět,contribute
1382,přeměna,conversion
1383,chladný,cool
1384,roh,corner
1385,cena,cost
1386,kostým,costume
1387,bavlna,cotton
1388,sčítání,count
1389,pár,couple
1390,soud,court
1391,zpravodajství,coverage
1392,plavidlo,craft
1393,srážka,crash
1394,zločin,crime
1395,trestný,criminal
1396,plodina,crop
1397,dav,crowd
1398,křižovat,cruise
1399,plakat,cry
1400,kuchyně,cuisine
1401,vyléčit,cure
1402,současný,current
1403,den,day
1404,mrtvý,dead
1405,dohoda,deal
1406,dluh,debt
1407,rozhodnout,decide
1408,vyhlášení,declaration
1409,klesat,decline
1410,snížit,decrease
1411,hluboký,deep
1412,rozhodně,definitely
1413,definice,definition
1414,stupeň,degree
1415,odložit,delay
1416,doručit,deliver
1417,žádat,demand
1418,hustota,density
1419,oddělení,department
1420,záviset,depend
1421,záloha,deposit
1422,hloubka,depth
1423,poušť,desert
1424,navrhnout,design
1425,touha,desire
1426,cíl,destination
1427,zničit,destroy
1428,určit,determine
1429,odhodlaný,determined
1430,vývoj,development
1431,strava,diet
1432,digitální,digital
1433,rozměr,dimension
1434,sleva,discount
1435,objevit,discover
1436,diskuse,discussion
1437,spor,dispute
1438,vzdálenost,distance
1439,oblast,district
1440,rozvod,divorce
1441,počínání,doing
1442,udělaný,done
1443,dávka,dose
1444,pochybnost,doubt
1445,kresba,drawing
1446,tažený,drawn
1447,sen,dream
1448,služba,duty
1449,vydělat,earn
1450,zem,earth
1451,účinek,effect
1452,účinný,effective
1453,účinně,effectively
1454,účinný,efficient
1455,úsilí,effort
1456,elektrický,electric
1457,elektrický,electrical
1458,elektřina,electricity
1459,způsobilý,eligible
1460,odstranit,eliminate
1461,důraz,emphasis
1462,zaměstnaný,employed
1463,zaměstnání,employment
1464,povzbudit,encourage
1465,konec,end
1466,závěr,ending
1467,motor,engine
1468,užívat,enjoy
1469,zvětšit,enlarge
1470,zvětšení,enlargement
1471,nazvaný,entitled
1472,prostředí,environment
1473,rovný,equal
1474,stejný,equivalent
1475,doba,era
1476,pozemek,estate
1477,odhadnout,estimate
1478,událost,event
1479,důkaz,evidence
1480,vývoj,evolution
1481,zkouška,exam
1482,prohlédnout,examine
1483,příklad,example
1484,vyloučit,exclude
1485,vedoucí,executive
1486,uplatňovat,exercise
1487,vyměnit,exchange
1488,rozšířit,expand
1489,zkušenost,experience
1490,pokus,experiment
1491,odborník,expert
1492,vysvětlit,explain
1493,vyvážet,export
1494,vyjádřit,express
1495,projev,expression
1496,táhnout,extend
1497,delší,extended
1498,nástavba,extension
1499,rozsáhlý,extensive
1500,rozsah,extent
1501,vnější,external
1502,tkanina,fabric
1503,fakt,fact
1504,továrna,factory
1505,selhat,fail
1506,víra,faith
1507,padělek,fake
1508,povědomý,familiar
1509,mít,fancy
1510,tlustý,fat
1511,vina,fault
1512,přízeň,favor
1513,nejoblíbenější,favorite
1514,rys,feature
1515,poplatek,fee
1516,cítit,feel
1517,pocit,feeling
1518,trajekt,ferry
1519,beletrie,fiction
1520,pole,field
1521,fík,fig
1522,poslední,final
1523,finančně,finance
1524,najít,find
1525,pěkný,fine
1526,první,first
1527,pasovat,fit
1528,pružnost,flexibility
1529,ohebný,flexible
1530,let,flight
1531,plout,float
1532,záplava,flood
1533,podlaha,floor
1534,proudit,flow
1535,přeložit,fold
1536,složka,folder
1537,noha,foot
1538,předpověď,forecast
1539,navěky,forever
1540,forma,form
1541,oficiální,formal
1542,jmění,fortune
1543,pěstounský,foster
1544,základ,foundation
1545,bezplatný,free
1546,čerstvý,fresh
1547,předek,front
1548,budoucnost,future
1549,získat,gain
1550,výstavní,gallery
1551,hra,game
1552,pokolení,generation
1553,dostat,get
1554,letmý,glance
1555,celosvětový,global
1556,branka,goal
1557,zboží,goods
1558,vláda,government
1559,guvernér,governor
1560,absolvovat,graduate
1561,zrn,grain
1562,finanční,grant
1563,zelený,green
1564,gril,grill
1565,opatrovník,guardian
1566,hádat,guess
1567,provinilý,guilty
1568,tělocvična,gym
1569,ruka,hand
1570,klika,handle
1571,manipulace,handling
1572,stát,happen
1573,tvrdý,hard
1574,železářské,hardware
1575,sklizeň,harvest
1576,hlava,head
1577,nadpis,heading
1578,slyšet,hear
1579,sluch,hearing
1580,srdce,heart
1581,výška,height
1582,vysoký,high
1583,zdůraznit,highlight
1584,vysoce,highly
1585,historický,historical
1586,dovolená,holiday
1587,skákat,hop
1588,dům,house
1589,obecně,household
1590,byty,housing
1591,lidský,human
1592,výzva,challenge
1593,šampión,champion
1594,šance,chance
1595,změna,change
1596,program,channel
1597,zmatek,chaos
1598,povaha,character
1599,dobročinný,charity
1600,půvab,charm
1601,podvádět,cheat
1602,kostkovaný,checked
1603,pokladna,checkout
1604,čip,chip
1605,výběr,choice
1606,ideál,ideal
1607,představa,image
1608,představit,imagine
1609,dovážet,import
1610,související,incident
1611,nezávislý,independent
1612,naznačovat,indicate
1613,ukazatel,indicator
1614,jednotlivý,individual
1615,průmysl,industry
1616,nákaza,infection
1617,zranění,injury
1618,novota,innovation
1619,objekt,installation
1620,případ,instance
1621,ústav,institute
1622,instituce,institution
1623,instituční,institutional
1624,pokyn,instruction
1625,pojištění,insurance
1626,nedílný,integral
1627,intelektuální,intellectual
1628,zamýšlený,intended
1629,usilovný,intensive
1630,zájem,interest
1631,prozatímní,interim
1632,mezilehlý,intermediate
1633,mezidobí,interval
1634,pohovor,interview
1635,zavést,introduce
1636,vložit,invest
1637,investice,investment
1638,vyžadovat,involve
1639,společný,joint
1640,cesta,journey
1641,soudce,judge
1642,soud,judgment
1643,služebně,junior
1644,spravedlnost,justice
1645,držet,keep
1646,klíč,key
1647,druh,kind
1648,kuchyně,kitchen
1649,vědět,know
1650,chápavý,knowing
1651,štítek,label
1652,laboratoř,laboratory
1653,zem,land
1654,odpočívadlo,landing
1655,právo,law
1656,vůdce,leader
1657,odejít,leave
1658,délka,length
1659,lekce,lesson
1660,jak,like
1661,verše,lines
1662,spoj,link
1663,tekutina,liquid
1664,poslouchat,listen
1665,žít,live
1666,zámek,lock
1667,logičnost,logic
1668,volný,loose
1669,pozemek,lot
1670,milující,loving
1671,štěstí,luck
1672,zavazadla,luggage
1673,stroj,machine
1674,udržovat,maintain
1675,většina,majority
1676,řídit,manage
1677,řízení,management
1678,vyrábět,manufacture
1679,výroba,manufacturing
1680,pochodovat,march
1681,skvrna,mark
1682,manželství,marriage
1683,masa,mass
1684,hmota,material
1685,zápas,match
1686,odpovídající,matching
1687,záležitost,matter
1688,dospět,mature
1689,maximální,maximum
1690,jídlo,meal
1691,význam,meaning
1692,lékařství,medicine
1693,člen,member
1694,duševní,mental
1695,podáváná,menu
1696,kov,metal
1697,možná,might
1698,nerost,mineral
1699,ministr,minister
1700,menší,minor
1701,menšina,minority
1702,minuta,minute
1703,minout,miss
1704,pojízdný,mobile
1705,moderní,modern
1706,nálada,mood
1707,hypotéční,mortgage
1708,matka,mother
1709,pohyb,motion
1710,motor,motor
1711,hora,mountain
1712,hnutí,movement
1713,dojemný,moving
1714,vzájemný,mutual
1715,tájemství,mystery
1716,rodný,native
1717,přirozený,natural
1718,příroda,nature
1719,blízko,near
1720,potřebovat,need
1721,záporný,negative
1722,čtvrť,neighborhood
1723,síť,network
1724,nikdy,never
1725,zprávy,news
1726,oznámení,notice
1727,román,novel
1728,předmět,object
1729,cíl,objective
1730,pozorování,observation
1731,přihodit,occur
1732,šance,odds
1733,nabídnout,offer
1734,kancelář,office
1735,starý,old
1736,operace,operation
1737,názor,opinion
1738,možnost,option
1739,původ,origin
1740,vynikající,outstanding
1741,vlastní,own
1742,balíček,pack
1743,bolest,pain
1744,barva,paint
1745,kniha,paperback
1746,minout,pass
1747,chodba,passage
1748,pomíjivý,passing
1749,vášeň,passion
1750,cestovní,passport
1751,poplácat,pat
1752,trpělivý,patient
1753,vzor,pattern
1754,platba,payment
1755,civět,peer
1756,důchod,pension
1757,dokonalý,perfect
1758,naprosto,perfectly
1759,doba,period
1760,povolit,permit
1761,osobnost,personality
1762,personál,personnel
1763,pohled,perspective
1764,petice,petition
1765,fyzický,physical
1766,vybrat,pick
1767,pickup,pickup
1768,pilulka,pill
1769,trubka,pipe
1770,hřiště,pitch
1771,místo,place
1772,umístění,placement
1773,umístění,placing
1774,jednobarevný,plain
1775,umělá,plastic
1776,talíř,plate
1777,pódium,platform
1778,hrát,play
1779,hráč,player
1780,prosím,please
1781,ukázat,point
1782,leštidlo,polish
1783,znečištění,pollution
1784,rybník,pond
1785,chudý,poor
1786,populární,popular
1787,potenciální,potential
1788,moc,power
1789,mocný,powerful
1790,praktický,practical
1791,praktika,practice
1792,upřednostňovat,prefer
1793,přednost,preference
1794,příprava,preparation
1795,lékařský,prescription
1796,zachovat,preserve
1797,prezident,president
1798,tlak,pressure
1799,zabránit,prevent
1800,cena,price
1801,prvořadý,primary
1802,zásada,principle
1803,uveřejnitelný,printable
1804,tisk,printing
1805,převor,prior
1806,vězení,prison
1807,soukromý,private
1808,pravděpodobnost,probability
1809,pravděpodobně,probably
1810,postup,process
1811,procesor,processor
1812,vyvolat,produce
1813,výrobce,producer
1814,výrobek,product
1815,výroba,production
1816,produktivita,productivity
1817,povolání,profession
1818,profesionální,professional
1819,zisk,profit
1820,program,programme
1821,pokrok,progress
1822,pokrokový,progressive
1823,povýšení,promotion
1824,přimět,prompt
1825,část,proportion
1826,veřejný,public
1827,publikování,publication
1828,nákup,purchase
1829,účel,purpose
1830,kvalita,quality
1831,dotaz,query
1832,otázka,question
1833,závod,race
1834,radikální,radical
1835,déšť,rain
1836,duha,rainbow
1837,náhodný,random
1838,tempo,rate
1839,dorazit,reach
1840,důvod,reason
1841,rozumný,reasonable
1842,rozumně,reasonably
1843,recept,recipe
1844,zotavit,recover
1845,odrážet,reflect
1846,reformovat,reform
1847,vrácení,refund
1848,spojitost,relation
1849,příbuzný,relative
1850,podstatný,relevant
1851,zůstat,remain
1852,opravit,repair
1853,nahradit,replace
1854,nahrazení,replacement
1855,zachránit,rescue
1856,výzkumný,research
1857,sídlo,residence
1858,usedlík,resident
1859,obytný,residential
1860,usnesení,resolution
1861,vyřešit,resolve
1862,odhodlaný,resolved
1863,středisko,resort
1864,zdroje,resources
1865,vážit,respect
1866,dotazovaný,respondent
1867,rezervní,rest
1868,přezkoumání,review
1869,státní,revolution
1870,správný,right
1871,bohatý,rich
1872,zavolat,ring
1873,riziko,risk
1874,romantický,romantic
1875,hrubý,rough
1876,cesta,route
1877,běžná,routine
1878,pravidlo,rule
1879,spěchat,rush
1880,zachránit,save
1881,říct,say
1882,rčení,saying
1883,skórovat,score
1884,obrazovka,screen
1885,hledat,search
1886,sekunda,second
1887,druhotný,secondary
1888,zdát,seem
1889,já,self
1890,seminář,seminar
1891,smysl,sense
1892,citlivý,sensitive
1893,trest,sentence
1894,oddělení,separation
1895,tvar,shape
1896,akcie,share
1897,ostrý,sharp
1898,police,shelf
1899,přesunout,shift
1900,sprcha,shower
1901,rozvrh,schedule
1902,zrak,sight
1903,znak,sign
1904,dát,signal
1905,jediný,single
1906,velikost,size
1907,rukáv,sleeve
1908,klouzat,slide
1909,štíhlý,slim
1910,malý,small
1911,elegantní,smart
1912,kouř,smoke
1913,hladký,smooth
1914,hebký,soft
1915,pevný,solid
1916,prostor,space
1917,rozpětí,span
1918,mluvit,speak
1919,řečník,speaker
1920,řeč,speech
1921,špice,spoke
1922,stálý,stable
1923,stoh,stack
1924,personál,staff
1925,stadium,stage
1926,stát,stand
1927,společenské,standing
1928,hvězda,star
1929,stát,state
1930,výrok,statement
1931,statistické,statistics
1932,postavení,status
1933,krok,step
1934,stres,stress
1935,táhnout,stretch
1936,stávkovat,strike
1937,mozková,stroke
1938,struktura,structure
1939,cvoček,stud
1940,studovat,study
1941,věc,stuff
1942,předplatné,subscription
1943,látka,substance
1944,značný,substantial
1945,suplovat,substitute
1946,navrhnout,suggest
1947,oblek,suit
1948,částka,sum
1949,slunce,sun
1950,lepší,superior
1951,dodávat,supply
1952,podporovat,support
1953,předpokládat,suppose
1954,povrch,surface
1955,podezírat,suspect
1956,stůl,table
1957,mluvit,talk
1958,chuť,taste
1959,daň,tax
1960,dočasný,temporary
1961,mít,tend
1962,termín,term
1963,hrůza,terror
1964,tenký,thin
1965,přemýšlivý,thinking
1966,myšlenka,thought
1967,hrozba,threat
1968,těsný,tight
1969,příhodný,timely
1970,načasování,timing
1971,nástroj,tool
1972,vrchol,top
1973,tvrdý,tough
1974,město,town
1975,stezka,track
1976,vlak,train
1977,přeprava,transit
1978,přechod,transition
1979,cestovat,travel
1980,léčit,treat
1981,cesta,trip
1982,věřit,trust
1983,cvičení,tutorial
1984,dvojče,twin
1985,druh,type
1986,typický,typical
1987,stejnokroj,uniform
1988,spojení,union
1989,nahoru,up
1990,svršek,upper
1991,použitý,used
1992,obvyklý,usual
1993,hodnota,value
1994,rozmanitost,variety
1995,lišit,vary
1996,rozsáhlý,vast
1997,vozidlo,vehicle
1998,názor,view
1999,ročník,vintage
2000,objem,volume
2001,hlasovací,vote
2002,chtít,want
2003,plýtvat,waste
2004,sledovat,watch
2005,způsob,way
2006,slabý,weak
2007,počasí,weather
2008,pavučina,web
2009,svatba,wedding
2010,váha,weight
2011,kolo,wheel
2012,vítr,wind
2013,okno,window
2014,moudrý,wise
2015,svědek,witness
2016,přemýšlet,wonder
2017,slovo,word
2018,pracovat,work
2019,pracovník,worker
2020,závod,works
2021,horší,worse
2022,spisovatel,writer
2023,psaný,writing
2024,rok,year
2025,léta,years
2026,mládí,youth
2027,kobra,asp
2028,základy,basics
2029,jádro,kernel
2030,životně,vital
2031,sako,jacket
2032,světlo,light
2033,minulý,past
2034,telefon,phone
2035,čtverec,square
2036,cestička,lane
2037,kromě,besides
2038,turné,tour
2039,legrační,funny
2040,paměť,memory
2041,jednou,once
2042,chléb,bread
2043,dort,cake
2044,oranžový,orange
2045,pod,under
2046,kterýkoliv,any
2047,kolem,around
2048,stát,become
2049,tyč,pole
2050,pozdě,late
2051,jih,south
2052,unavený,tired
2053,zatímco,while
2054,pláž,beach
2055,krásný,beautiful
2056,jen,only
2057,tichý,quiet
2058,chata,cottage
2059,nízký,low
2060,kabát,coat
2061,kus,piece
2062,ústní,oral
2063,vysoká,college
2064,statek,farm
2065,nápad,idea
2066,někde,somewhere
2067,plavat,swim
2068,skrz,through
2069,od,since
2070,kriket,cricket
2071,osa,axis
2072,úvod,introduction
2073,sklo,glass
2074,strojírenství,engineering
2075,vojenský,military
2076,udeřit,hit
2077,vzácný,rare
2078,stejně,anyway
2079,brána,gate
2080,ovce,sheep
2081,bezprostřední,immediate
2082,okamžitě,immediately
2083,pošta,post
2084,registr,register
2085,dodávka,van
2086,výročí,anniversary
2087,případ,case
2088,číslo,figure
2089,hloupý,stupid
2090,následující,following
2091,krev,blood
2092,docela,fairly
2093,vyhradit,reserve
2094,blaho,welfare
2095,potíž,trouble
2096,sada,set
2097,poloha,position
2098,průzkum,survey
2099,dělat,worry
2100,spousta,plenty
2101,hovězí,beef
2102,jet,ride
2103,umožnit,enable
2104,velmi,much
2105,atomický,atomic
2106,pomocný,assistant
2107,atmosféra,atmosphere
2108,trh,market
2109,vzrušující,exciting
2110,rozbitý,broken
2111,schovat,hide
2112,obchod,store
2113,zvon,bell
2114,cokoli,whatever
2115,mýdlo,soap
2116,tempo,pace
2117,odlišný,distinct
2118,řemen,strap
2119,riskantní,venture
2120,letec,pilot
2121,v,in
2122,nadšený,excited
2123,růže,rose
2124,jablko,apple
2125,kuchyně,cooking
2126,slavná,celebrity
2127,hlasitý,loud
2128,kámen,stone
2129,purpurový,purple
2130,venkovní,outdoor
2131,kartáč,brush
2132,plus,plus
2133,vodní,spray
2134,trubka,tube
2135,obličej,face
2136,losos,salmon
2137,oblíbenost,popularity
2138,na,broke
2139,odchod,retirement
2140,pýcha,pride
2141,propustit,release
2142,role,role
2143,dokázat,prove
2144,charta,charter
2145,těhotná,pregnant
2146,vzbudit,wake
2147,omezený,restricted
2148,apartmá,suite
2149,vypustit,launch
2150,vyvolat,generate
2151,odstranění,clearance
2152,postup,procedure
2153,záležitost,issue
2154,terč,target
2155,vliv,influence
2156,jeden,one
2157,dva,two
2158,hračka,toy
2159,čekat,wait
2160,káva,coffee
2161,dotazování,asking
2162,kořen,root
2163,v,basically
2164,větev,branch
2165,provozovat,operate
2166,trvalý,permanent
2167,brilantní,brilliant
2168,pěkný,pretty
2169,vysoká,boot
2170,hlavně,mainly
2171,krádež,theft
2172,pára,steam
2173,multimediální,multimedia
2174,výkvět,elite
2175,moudrost,wisdom
2176,pravidelně,regularly
2177,měsíční,monthly
2178,pryč,away
2179,západní,western
2180,záliv,bay
2181,bývalý,ex
2182,flotila,fleet
2183,hala,lounge
2184,střední,mid
2185,vzkaz,note
2186,klavír,piano
2187,spiknutí,plot
2188,vyjmout,remove
2189,znovu,resume
2190,sedadlo,seat
2191,nejvyšší,senior
2192,pohlaví,sex
2193,výstřel,shot
2194,zapletený,involved
2195,slušivý,becoming
2196,kořist,booty
2197,oblouk,arch
2198,násilí,violence
2199,násilný,violent
2200,přínos,asset
2201,spotřeba,consumption
2202,rozvážet,distribute
2203,rozdělit,split
2204,útok,assault
2205,kohout,tap
2206,autor,author
2207,bokem,aside
2208,ozbrojený,armed
2209,odvážný,bold
2210,citový,emotional
2211,mladistvý,teenage
2212,hrudník,chest
2213,na,upon
2214,hrůza,horror
2215,osvětlení,lighting
2216,zrakový,optical
2217,vysledovat,trace
2218,duch,spirit
2219,schůzka,summit
2220,ústa,mouth
2221,šíp,arrow
2222,zvukový,audio
2223,kmen,trunk
2224,brazilské,brazil
2225,povolání,calling
2226,díra,gap
2227,rtuť,mercury
2228,předseda,premier
2229,důmyslný,sophisticated
2230,zdroj,source
2231,inkasování,allowing
2232,kdo,anti
2233,ohodnocený,awarded
2234,vyvážený,balanced
2235,sídlící,based
2236,základní,baseline
2237,patřit,belong
2238,dražení,bidding
2239,olověný,blackjack
2240,buvol,buffalo
2241,úřad,bureau
2242,vačka,cam
2243,areál,campus
2244,uhlík,carbon
2245,člověk,carl
2246,nadnášení,carrying
2247,katalog,catalog
2248,katolický,catholic
2249,certifikovaný,certified
2250,popínavý,climbing
2251,blíže,closer
2252,pobřežní,coastal
2253,treska,cod
2254,kombo,combo
2255,komisař,commissioner
2256,sebraný,compiled
2257,výpočetní,computing
2258,pevninský,continental
2259,tma,darkness
2260,obrana,defense
2261,hnací,driving
2262,snadnost,ease
2263,nově,emerging
2264,pokusný,experimental
2265,představující,featuring
2266,úplně,fully
2267,funkční,functional
2268,sláva,glory
2269,názorný,graphic
2270,zarostlý,hairy
2271,sužovat,harry
2272,vřes,heather
2273,se,herself
2274,bok,hip
2275,vodorovný,horizontal
2276,napjatý,charged
2277,nabíječka,charger
2278,zlepšování,improving
2279,mladistvý,juvenile
2280,práce,labor
2281,dívání,looking
2282,prohrávající,losing
2283,lék,medication
2284,památník,memorial
2285,minisukně,mini
2286,smíšený,mixed
2287,navigovat,navigate
2288,neutrální,neutral
2289,Norman,norman
2290,dosažení,obtaining
2291,v,offline
2292,odpor,opposition
2293,operace,op
2294,organický,organic
2295,paragán,para
2296,částečný,partial
2297,přívěšek,pendant
2298,náměstí,plaza
2299,přenosný,portable
2300,zpracovatelský,processing
2301,poskytovatel,provider
2302,provinciální,provincial
2303,radar,radar
2304,zpravodajství,reporting
2305,zachování,retention
2306,vážně,seriously
2307,bota,shoe
2308,střelba,shooting
2309,jaké,sized
2310,nějak,somehow
2311,konkrétně,specifically
2312,výhradně,strictly
2313,tabletka,tablet
2314,závitový,threaded
2315,služební,tied
