id,english,česky
2316,kocour,tom
2317,britský,tommy
2318,obchod,trade
2319,káď,vat
2320,hlasování,voting
2321,pšenice,wheat
2322,čau,yo
2323,alfa,alpha
2324,vyhrazený,assigned
2325,obsluhovaný,attended
2326,avatár,avatar
2327,svobodný,bachelor
2328,fakturace,billing
2329,náramek,bracelet
2330,tmavovláska,brunette
2331,kámoš,buddy
2332,kavárna,cafe
2333,záměrný,calculated
2334,chycený,caught
2335,cent,cent
2336,jíl,clay
2337,odlišování,coding
2338,sbírání,collecting
2339,ústavní,constitutional
2340,obvyklý,conventional
2341,mohl,could
2342,umírající,dying
2343,exotický,exotic
2344,výslovný,explicit
2345,pryč,forth
2346,franšíza,franchise
2347,vstupní,gateway
2348,naváděný,guided
2349,odtud,hence
2350,se,himself
2351,střed,hub
2352,humor,humor
2353,změněný,changed
2354,chronicky,chronic
2355,císařský,imperial
2356,inovační,innovative
2357,začleněný,integrated
2358,výbava,kit
2359,list,leaf
2360,podléhající,liable
2361,nízkokalorický,lite
2362,ženatý,married
2363,blána,membrane
2364,provozní,operating
2365,provozuschopný,operational
2366,věštírna,oracle
2367,parkovací,parking
2368,podaný,performed
2369,pop,pop
2370,nakladatelský,publishing
2371,kvíz,quiz
2372,okruh,radius
2373,odvětví,sector
2374,užívá,shall
2375,sebevražda,suicide
2376,nit,thread
2377,tón,tone
2378,obchodování,trading
2379,univerzální,universal
2380,svislý,vertical
2381,pravý,authentic
2382,oprávnění,authorization
2383,nevolnictví,bondage
2384,bowling,bowling
2385,dech,breath
2386,bublin,bubble
2387,přivoděný,caused
2388,uklízení,cleaning
2389,rada,counsel
2390,učební,curriculum
2391,podaný,filed
2392,fiskální,fiscal
2393,oplechování,flashing
2394,odborné,guidance
2395,skrytý,hidden
2396,prováděcí,implementing
2397,morální,integrity
2398,styčná,interface
2399,vnitřek,interior
2400,zapojení,involvement
2401,pronájem,lease
2402,časopis,magazine
2403,zamýšlený,meant
2404,vynechání,missing
2405,úmrtnost,mortality
2406,plavba,navigation
2407,dosažený,obtained
2408,firemní,outlet
2409,pár,pair
2410,partnerství,partnership
2411,čekající,pending
2412,s,placed
2413,přítomnost,presence
2414,matrika,registry
2415,předpis,regulation
2416,zběžně,scan
2417,kraťasy,shorts
2418,duchovní,spiritual
2419,startovací,starting
2420,unavit,tire
2421,chůze,walking
2422,podpora,backup
2423,mosaz,brass
2424,náboj,cartridge
2425,střední,central
2426,souvislost,conjunction
2427,znevýhodňování,discrimination
2428,hotový,finished
2429,kurevský,fucking
2430,dostudování,graduation
2431,zatížený,loaded
2432,zachovávání,maintaining
2433,podložka,mat
2434,nahý,naked
2435,dobrý,okay
2436,skvrna,patch
2437,produkování,producing
2438,zařazený,ranked
2439,znásilnit,rape
2440,štafeta,relay
2441,nejvyšší,supreme
2442,sledování,surveillance
2443,mučit,torture
2444,jehož,whose
2445,ty,wow
2446,oblečení,apparel
2447,zlato,babe
2448,podfouknout,con
2449,rozvojový,developing
2450,vlákno,fiber
2451,daný,given
2452,útočiště,haven
2453,vložit,insert
2454,okamžik,instant
2455,položit,lay
2456,živobytí,living
2457,album,portfolio
2458,výborný,super
2459,holý,bare
2460,úzce,bound
2461,prs,breast
2462,buněčný,cellular
2463,zdrženlivost,discretion
2464,rozmanitost,diversity
2465,krmení,feeding
2466,zmínit,mention
2467,týkající,regarding
2468,bez,regardless
2469,penzionovaný,retired
2470,porce,serving
2471,hovno,shit
2472,oprávněný,valid
2473,povlečení,bedding
2474,žhavý,burning
2475,lano,cable
2476,těsně,closely
2477,angažovat,engage
2478,celý,entire
2479,popravit,execute
2480,fixovaný,fixed
2481,upřímný,frank
2482,obecně,generic
2483,ladnost,grace
2484,majestátní,grand
2485,skutečně,indeed
2486,kámo,mate
2487,možná,may
2488,hornictví,mining
2489,umírněný,moderate
2490,profík,pro
2491,zvlněný,rolling
2492,odbyt,sales
2493,prostor,scope
2494,promítání,screening
2495,zajistit,secure
2496,ticho,silence
2497,otvor,slot
2498,koho,whom
2499,navozuje,will
2500,senát,senate
2501,dcera,daughter
2502,jazyk,language
2503,ráno,morning
2504,psací,desk
2505,šaty,dress
2506,otec,father
2507,manžel,husband
2508,dar,present
2509,dobře,well
2510,začít,begin
2511,kino,cinema
2512,dopis,letter
2513,setkání,meeting
2514,čtvrt,quarter
2515,úředník,clerk
2516,správný,correct
2517,nutný,necessary
2518,dorozumívat,communicate
2519,třetí,third
2520,hořet,burn
2521,problém,problem
2522,koupelna,bathroom
2523,zahrada,garden
2524,tráva,grass
2525,vstupní,hall
2526,trávník,lawn
2527,postavit,build
2528,auto,car
2529,jíst,eat
2530,obrázek,picture
2531,věc,thing
2532,řidič,driver
2533,jít,walk
2534,zákazník,customer
2535,zrcadlo,mirror
2536,strana,party
2537,čepka,cap
2538,tmavý,dark
2539,zkouška,examination
2540,laciný,cheap
2541,koruna,crown
2542,kytara,guitar
2543,utratit,spend
2544,rozdíl,difference
2545,číslo,number
2546,hlavní,main
2547,milenec,lover
2548,koberec,carpet
2549,plyn,gas
2550,kopec,hill
2551,voda,water
2552,hrad,castle
2553,černý,black
2554,šálek,cup
2555,park,park
2556,tábor,camp
2557,král,king
2558,ropa,oil
2559,cestující,passenger
2560,známka,stamp
2561,stavba,building
2562,inženýr,engineer
2563,zápisník,notebook
2564,zaměstnání,occupation
2565,nad,over
2566,kuře,chicken
2567,čokoláda,chocolate
2568,střecha,roof
2569,mléko,milk
2570,sáček,bag
2571,vejce,egg
2572,stránka,page
2573,cukr,sugar
2574,hnědý,brown
2575,vozík,cart
2576,rozlobený,angry
2577,autobus,bus
2578,úzký,narrow
2579,cesta,road
2580,poledne,noon
2581,jaro,spring
2582,odstavec,paragraph
2583,pták,bird
2584,růst,grow
2585,droga,drug
2586,politika,policy
2587,národ,nation
2588,slepý,blind
2589,diskutovat,discuss
2590,můj,mine
2591,lži,ski
2592,lavice,bench
2593,ohromný,great
2594,představení,performance
2595,řada,row
2596,vstoupit,enter
2597,dějiny,history
2598,noha,leg
2599,hodit,throw
2600,míč,ball
2601,krása,beauty
2602,hráz,dam
2603,vlas,hair
2604,krčma,pub
2605,říčka,stream
2606,pozdrav,greeting
2607,čtvrtý,fourth
2608,pátý,fifth
2609,hornina,rock
2610,skořápka,shell
2611,sakra,damn
2612,svítání,dawn
2613,loď,ship
2614,vystavit,display
2615,nástroj,instrument
2616,slíbit,promise
2617,výstava,exhibition
2618,držet,hold
2619,kapitál,capital
2620,kostel,church
2621,zem,country
2622,podrobnost,detail
2623,domluvená,engagement
2624,muzeum,museum
2625,původ,background
2626,banka,bank
2627,nestvůra,monster
2628,tajný,secret
2629,smrt,death
2630,neúspěch,failure
2631,nakladatel,publisher
2632,naprostý,complete
2633,projevovat,exhibit
2634,koncese,licence
2635,fotka,photo
2636,pult,counter
2637,spojovatel,operator
2638,příkaz,order
2639,zpráva,message
2640,městský,city
2641,dopisování,correspondence
2642,počáteční,initial
2643,svíčka,candle
2644,koleda,carol
2645,zvyk,custom
2646,příležitost,occasion
2647,krabice,box
2648,sladkost,candy
2649,tančit,dance
2650,maska,mask
2651,plakát,poster
2652,palivo,fuel
2653,karta,card
2654,židle,chair
2655,pohroma,disaster
2656,spojení,communication
2657,ryba,fish
2658,zem,ground
2659,komedie,comedy
2660,malba,painting
2661,říše,empire
2662,příjezd,arrival
2663,miminko,baby
2664,opatrný,careful
2665,kojenec,infant
2666,pokusit,attempt
2667,svoboda,freedom
2668,líbat,kiss
2669,záležet,care
2670,vyvíjet,develop
2671,mrak,cloud
2672,bazén,pool
2673,starost,concern
2674,vlajka,flag
2675,shánět,hunt
2676,ochrana,protection
2677,stanice,station
2678,obrovský,giant
2679,vrchol,peak
2680,výhrada,reservation
2681,nákladní,truck
2682,ústava,constitution
2683,dvojitý,double
2684,zakladatel,founder
2685,spodní,lower
2686,králík,rabbit
2687,obřad,ceremony
2688,návrh,proposal
2689,obchodní,commercial
2690,prázdný,empty
2691,chemický,chemical
2692,volba,election
2693,inflace,inflation
2694,zabít,kill
2695,království,kingdom
2696,růst,growth
2697,základní,basic
2698,narození,birth
2699,strach,fear
2700,krize,crisis
2701,ublížit,harm
2702,buňka,cell
2703,deník,diary
2704,mimořádná,emergency
2705,součást,component
2706,sloup,column
2707,připojit,join
2708,možnost,possibility
2709,spodní,base
2710,knihovna,library
2711,špinavý,dirty
2712,seznam,list
2713,strop,ceiling
2714,pohřeb,funeral
2715,krk,neck
2716,zakládání,filling
2717,halový,indoor
2718,suchý,dry
2719,dobrovolník,volunteer
2720,poškodit,damage
2721,prach,dust
2722,zářivě,beam
2723,účinnost,efficiency
2724,ležet,lie
2725,tuleň,seal
2726,dar,donation
2727,vstup,entry
2728,zajmout,capture
2729,vrstva,layer
2730,údržba,maintenance
2731,vyrovnat,offset
2732,začít,proceed
2733,kápě,hood
2734,obvod,circuit
2735,škála,range
2736,práh,threshold
2737,ji,her
2738,hodiny,clock
2739,pero,pen
2740,spaní,sleep
2741,rychlost,speed
2742,film,film
2743,ptát,ask
2744,profesor,professor
2745,zpravodaj,reporter
2746,baterie,battery
2747,kapsa,pocket
2748,kočka,cat
2749,pepř,pepper
2750,dopravní,transport
2751,krajní,extreme
2752,centrála,headquarters
2753,vesmír,universe
2754,mající,due
2755,zrní,corn
2756,injekce,injection
2757,špička,tip
2758,pohodlí,convenience
2759,bitva,battle
2760,deprese,depression
2761,kapitola,chapter
2762,hostitel,host
2763,zvrátit,reverse
2764,kodex,code
2765,rozpočet,budget
2766,shromáždění,gathering
2767,přejezd,crossing
2768,modlení,prayer
2769,dokument,documentary
2770,pronálsedovat,chase
2771,lovec,hunter
2772,fotografování,photography
2773,tekutina,fluid
2774,střežit,guard
2775,půjčka,loan
2776,zřídit,establish
2777,pohled,profile
2778,obsazení,cast
2779,buben,drum
2780,peklo,hell
2781,posádka,crew
2782,rozhodný,critical
2783,kruh,circle
2784,jet,cycle
2785,rozšíření,expansion
2786,žurnál,journal
2787,rozesílání,distribution
2788,přednost,priority
2789,podání,presentation
2790,stížnost,complaint
2791,závěr,findings
2792,nadbytek,excess
2793,řetěz,chain
2794,dokument,document
2795,pracovní,draft
2796,dopad,impact
2797,nastínit,outline
2798,připravit,prepare
2799,závazek,obligation
2800,jednotkový,unit
2801,zařízení,facility
2802,výdaj,expenditure
2803,přímý,direct
2804,požadavek,requirement
2805,úvodní,opening
2806,kvalifikovaný,qualified
2807,doručení,delivery
2808,kampaň,campaign
2809,pohlaví,gender
2810,výčet,listing
2811,rámec,framework
2812,distributor,distributor
2813,předběžný,preliminary
2814,obchodník,dealer
2815,demonstrace,demonstration
2816,prémie,bonus
2817,závazek,commitment
2818,gang,gang
2819,ucho,ear
2820,citron,lemon
2821,kouzlo,magic
2822,prášek,powder
2823,pracující,working
2824,drak,dragon
2825,dítě,kid
2826,prohlížeč,browser
2827,porucha,disorder
2828,zařízení,device
2829,zastupovat,represent
2830,směr,direction
2831,břímě,burden
2832,nedodržet,default
2833,výpočet,calculation
2834,přispění,contribution
2835,kázeň,discipline
2836,pojem,concept
2837,závod,enterprise
2838,pověřit,commission
2839,hacker,hacker
2840,pozemní,hockey
2841,vana,bath
2842,skončit,quit
2843,zbraň,gun
2844,mlékárna,dairy
2845,patent,patent
2846,viset,hang
2847,členové,royalty
2848,soutěž,contest
2849,utéct,escape
2850,vražda,murder
2851,zlo,evil
2852,povídat,chat
2853,kupující,buyer
2854,záblesk,flash
2855,záření,radiation
2856,beton,concrete
2857,železo,iron
2858,včela,bee
2859,pás,belt
2860,tělo,body
2861,schopnost,capacity
2862,keramika,ceramic
2863,sjezd,congress
2864,zvyklost,convention
2865,rada,council
2866,měna,currency
2867,paluba,deck
2868,potíž,difficulty
2869,zjištění,discovery
2870,výdělek,earnings
2871,redaktor,editor
2872,nepřítel,enemy
2873,být,exist
2874,výdaj,expense
2875,liška,fox
2876,hrubý,gross
2877,zabiják,killer
2878,prádlo,laundry
2879,spolek,league
2880,kůže,leather
2881,pověst,legend
2882,úroveň,level
2883,svoboda,liberty
2884,lord,lord
2885,ztráta,loss
2886,tržiště,marketplace
2887,považovat,regard
2888,odstranění,removal
2889,zástupce,representative
2890,půda,soil
2891,archiv,archive
2892,bomba,bomb
2893,brzda,brake
2894,tečka,dot
2895,šňůra,cord
2896,přítomnost,attendance
2897,zvíře,beast
2898,přenést,transfer
2899,společný,combined
2900,bytost,being
2901,soustředění,concentration
2902,diagram,chart
2903,ekologický,environmental
2904,balíček,package
2905,panel,panel
2906,přenos,transmission
2907,šéf,chief
2908,bas,bass
2909,vystavení,exposure
2910,ženského,female
2911,funkce,function
2912,fond,fund
2913,hák,hook
2914,ztotožnění,identification
2915,inkoust,ink
2916,čočka,lens
2917,členství,membership
2918,ministerstvo,ministry
2919,sluchátko,receiver
2920,šok,shock
2921,přívěs,trailer
2922,odpor,resistance
2923,chyba,error
2924,červovitý,appendix
2925,armáda,army
2926,osel,ass
2927,atom,atom
2928,advokát,attorney
2929,přitažlivost,attraction
2930,transparent,banner
2931,baptista,baptist
2932,bobr,beaver
2933,dvojkový,binary
2934,prázdný,blank
2935,záložka,bookmark
2936,hmyz,bug
2937,vitrínka,cabinet
2938,mezipaměť,cache
2939,kalkulačka,calculator
2940,kanovník,canon
2941,plátno,canvas
2942,transportét,carrier
2943,městský,civic
2944,spon,clip
2945,přesná,clone
2946,kohout,cock
2947,velitel,commander
2948,kompilace,compilation
2949,sestavovatel,compiler
2950,složitý,complex
2951,shromáždění,assembly
2952,připomínkový,consultation
2953,síň,chamber
2954,nádoba,container
2955,přítěž,liability
2956,sušenka,cookie
2957,jádřinec,core
2958,hrabství,county
2959,stvoření,creation
2960,roztomilý,cute
2961,drahý,dear
2962,debata,debate
2963,popis,description
2964,stavební,developer
2965,ďábel,devil
2966,režisér,director
2967,postižení,disability
2968,vévoda,duke
2969,činitel,factor
2970,ozvěna,echo
2971,vchod,entrance
2972,epizoda,episode
2973,vlohy,faculty
2974,festival,festival
2975,nálezce,finder
2976,prst,finger
2977,formát,format
2978,fórum,forum
2979,podvod,fraud
2980,rodopis,genealogy
2981,generátor,generator
2982,graf,graph
2983,hlavička,header
2984,parametr,parameter
2985,režim,regime
2986,kaple,chapel
2987,ožehnout,char
2988,skladba,composition
2989,totožnost,identity
2990,zaujatost,bias
2991,prohlédnutí,inspection
2992,úmysl,intent
2993,výklad,interpretation
2994,křižovatka,junction
2995,jurisdikce,jurisdiction
2996,odkaz,legacy
2997,lesba,lesbian
2998,přímočarý,linear
2999,obesílání,mailing
3000,ruční,manual
3001,mlýn,mill
3002,šlohnout,nick
3003,normální,normal
3004,dub,oak
3005,uspořádání,ordering
3006,orgán,organ
3007,dlaň,palm
3008,kámoš,pal
3009,pánev,pan
3010,účastník,participant
3011,koláč,pie
3012,chcát,piss
3013,průzkum,poll
3014,předpremiéra,preview
3015,tiskárna,printer
3016,zastoupení,representation
3017,republika,republic
3018,pruh,strip
3019,předkrm,starter
3020,spoušť,trigger
3021,vysokoškolský,undergraduate
3022,dílna,workshop
3023,část,bit
3024,kontrola,control
3025,přístroj,appliance
3026,oblouk,arc
3027,ujištění,assurance
3028,pozornost,attention
3029,rána,bang
3030,o,binding
3031,koš,bin
3032,čepel,blade
3033,dohodce,broker
3034,tlumič,buffer
3035,uklízeč,cleaner
3036,shluk,cluster
3037,zakládat,constitute
3038,zhotovitel,contractor
3039,zástupce,deputy
3040,lišit,differ
3041,oblast,domain
3042,entita,entity
3043,vlastní,equity
3044,založení,establishment
3045,překročit,exceed
3046,poprava,execution
3047,představa,fantasy
3048,fax,fax
3049,drapérie,hanging
3050,dotaz,inquiry
3051,klenoty,jewelry
3052,smyčka,loop
3053,mariňák,marine
3054,konkrétní,particular
3055,pěšina,path
3056,trest,penalty
3057,špendlík,pin
3058,držení,possession
3059,keramika,pottery
3060,zábradlí,rail
3061,krysa,rat
3062,zmiňovat,refer
3063,utrpení,suffering
3064,dohlížitel,supervisor
3065,meč,sword
3066,vyučování,teaching
3067,dospívající,teen
3068,plavidlo,vessel
3069,vyžádat,warrant
3070,oznámit,announce
3071,výbuch,blast
3072,oprava,correction
3073,křivka,curve
3074,adresář,directory
3075,vydání,edition
3076,spolek,fellowship
3077,pokácet,fell
3078,lidová,folk
3079,obdoba,parallel
3080,zástrčka,plug
3081,pojistní,premium
3082,provaz,string
3083,něžný,tender
3084,užitek,utility
3085,animace,animation
3086,směrem,toward
3087,bar,bar
3088,způsoby,bearing
3089,východ,exit
3090,poduška,pad
3091,avenue,avenue
3092,věřit,believe
3093,šat,clothes
3094,spoléhání,depending
3095,dialog,dialogue
3096,nalezení,finding
3097,on,he
3098,později,later
3099,devět,nine
3100,politika,politics
3101,poskytovaný,provided
3102,směrem,towards
3103,odepřený,denied
3104,zadaný,entered
3105,to,finest
3106,lidi,folks
3107,větší,greater
3108,pověšený,hung
3109,nocleh,lodging
3110,opatření,measures
3111,oškubaný,pulled
3112,uchvacující,taking
3113,džínsy,jeans
3114,ten,the
3115,blond,blonde
3116,dynamika,dynamics
3117,zájmové,interests
3118,Buď,ave
3119,člen,a
3120,šněrovací,oxford
3121,schody,steps
3122,zbytky,ends
3123,měření,trials
3124,rákosová,flags
3125,barva,color
3126,prostý,commons
3127,kontrahentský,contracting
3128,konzultující,consulting
3129,redigování,editing
3130,naplácání,spanking
3131,vody,waters
3132,aktualizační,updating
3133,dostávající,getting
3134,háj,grove
3135,černý,japan
3136,vtípek,josh
3137,opálení,tan
3138,příbřežní,offshore
3139,uctívat,worship
3140,kulečníkové,pills
3141,jasně,sorted
3142,ty,thou
3143,vyhýbání,dodge
3144,zapřisáhlý,confirmed
3145,disponování,disposal
3146,potok,creek
3147,ventil,valve
3148,nanesení,applying
3149,trenérství,coaching
3150,dokonání,completion
3151,vyhovět,comply
3152,složený,composite
3153,stlačení,compression
3154,formování,conditioning
3155,potvrzení,confirmation
3156,kontrolovaný,controlled
3157,řídící,controller
3158,přeměněný,converted
3159,korál,coral
3160,kosmetický,cosmetic
3161,kupon,coupon
3162,kryt,covering
3163,ježdění,cycling
3164,dan,dan
3165,datovaný,dated
3166,určování,dating
3167,děkan,dean
3168,doladit,debug
3169,výzdoba,decor
3170,obrana,defence
3171,odložený,delayed
3172,dodaný,delivered
3173,delta,delta
3174,demo,demo
3175,doupě,den
3176,sklad,depot
3177,stolní,desktop
3178,odhalení,detection
3179,determinační,determining
3180,vyspělý,developed
3181,úchylný,deviant
3182,ciferník,dial
3183,dialog,dialog
3184,rozdílový,differential
3185,namířený,directed
3186,směrnice,directive
3187,odmítnutí,disclaimer
3188,diskontovaný,discounted
3189,odbavený,dispatched
3190,vystavený,displayed
3191,potápění,diving
3192,vzít,don
3193,hnaný,driven
3194,snížený,dropped
3195,redakční,editorial
3196,osázený,embedded
3197,zápis,enrollment
3198,náběžný,entering
3199,erotický,erotic
3200,navazování,establishing
3201,měna,euro
3202,došetřený,examined
3203,zaskvít,excel
3204,znamenitost,excellence
3205,vyjímečný,exceptional
3206,úryvek,excerpt
3207,provedený,executed
3208,odhalený,exposed
3209,obličejový,facial
3210,lemovka,facing
3211,nezdařený,failed
3212,klesání,falling
3213,spolu,fellow
3214,evidenční,filing
3215,prstoklad,fingering
3216,květinkový,floral
3217,písmo,font
3218,brod,ford
3219,směs,fusion
3220,bůh,god
3221,jedoucí,going
3222,gurmánský,gourmet
3223,poskytnutý,granted
3224,bezúplatný,gratis
3225,mřížka,grid
3226,dospělý,grown
3227,záliv,gulf
3228,událost,happening
3229,držený,held
3230,zvěstovat,herald
3231,doufání,hoping
3232,nadržený,horny
3233,hostitelský,hosting
3234,kříženec,hybrid
3235,označovaný,indicated
3236,emitovaný,issued
3237,spojování,joining
3238,shoda,keeping
3239,dohled,ken
3240,klávesnice,keyboard
3241,kladený,laid
3242,odpálený,launched
3243,odjezd,leaving
3244,evidovaný,listed
3245,mapovací,mapping
3246,výrazný,marked
3247,tržnice,mart
3248,masáž,massage
3249,zboží,merchandise
3250,posel,messenger
3251,podpěra,mounting
3252,dojatý,moved
3253,odklopený,opened
3254,par,par
3255,odhlasovaný,passed
3256,perla,pearl
3257,potrubní,pipeline
3258,jazýček,pointer
3259,portál,portal
3260,poštovní,postage
3261,poštovní,postal
3262,poslaný,posted
3263,kontování,posting
3264,poháněný,powered
3265,moderovaný,presented
3266,výhledový,prospective
3267,ochraňování,protecting
3268,zmocněnec,proxy
3269,punk,punk
3270,kupovaný,purchased
3271,zařazení,putting
3272,krajta,python
3273,čtvrtlení,quarterly
3274,vyvýšený,raised
3275,pozdvižení,raising
3276,beran,ram
3277,rap,rap
3278,obdržený,received
3279,obdržení,receiving
3280,rákos,reed
3281,odkaz,ref
3282,propuštěný,released
3283,oddělaný,removed
3284,obchoďák,rep
3285,úložiště,repository
3286,představující,representing
3287,reprodukovaný,reproduced
3288,odměřený,reserved
3289,přenastavit,reset
3290,odporující,resistant
3291,otáčkový,rev
3292,oponovaný,reviewed
3293,opáčko,revision
3294,červenka,robin
3295,týkající,roman
3296,směrovací,routing
3297,chycený,saved
3298,dosažený,scored
3299,hledací,searching
3300,místa,seating
3301,vybírání,selecting
3302,půldomek,semi
3303,obesílání,sending
3304,seriál,serial
3305,promítaný,shown
3306,časově,scheduled
3307,rozvrhování,scheduling
3308,se,signed
3309,podepsání,signing
3310,kouření,smoking
3311,zdířka,socket
3312,nevyžádána,spam
3313,mluvení,speaking
3314,specifikace,spec
3315,brejle,specs
3316,strávený,spent
3317,bodovka,spotlight
3318,nakrojený,started
3319,zaražený,stopped
3320,dělení,streaming
3321,studování,studying
3322,rydlo,stylus
3323,sublimovat,sublime
3324,podrobení,submission
3325,předplatit,subscribe
3326,cumlání,sucking
3327,příloha,supplement
3328,zásobovaný,supplied
3329,příboj,surf
3330,prohazování,switching
3331,obchodní,syndicate
3332,cedulka,tab
3333,obsazený,taken
3334,hovořící,talking
3335,zdanění,taxation
3336,průmka,tech
3337,vyprávění,telling
3338,nehet,thumbnail
3339,sýkorka,tit
3340,dělení,tracking
3341,přepis,transcript
3342,přenášený,transmitted
3343,cestovní,traveling
3344,putovat,trek
3345,školné,tuition
3346,nasměrovaný,turned
3347,odbočka,turning
3348,ultra,ultra
3349,podzemní,underground
3350,nepojmenovaný,untitled
3351,ke,unto
3352,zlepšit,upgrade
3353,potvrzení,validation
3354,lehký,victoria
3355,hostující,visiting
3356,vyhůídka,vista
3357,prázdno,void
3358,králičí,warren
3359,únavný,wearing
3360,vzít,wed
3361,čaroděj,wizard
3362,pracovní,workforce
3363,nadnášený,carried
3364,pracovník,temp
3365,velkoobchod,wholesale
3366,zkoušený,tried
3367,držení,setup
3368,speciální,corps
3369,občanstvo,commonwealth
3370,nafta,diesel
3371,kvalifikace,expertise
3372,spolu,cum
3373,fa,fa
3374,kubických,cc
3375,piškotový,charlotte
3376,jakýsi,an
3377,analogie,analog
3378,čurák,dick
3379,písmeno,en
3380,šoustat,fuck
3381,tanec,german
3382,sss,hist
3383,haha,ho
3384,á,oh
3385,biják,pic
3386,požadovaný,requested
3387,přehled,synopsis
3388,výstražné,warner
3389,vybojovaný,won
3390,skončit,x
3391,sázeč,comp
3392,obsah,contents
3393,si,ti
3394,barvy,colours
3395,poradce,advisor
3396,brazilský,brazilian
3397,maník,johnny
3398,stoupající,rising
3399,hajzl,john
3400,mouka,seconds
3401,posraný,fucked
3402,střed,centre
3403,vytvořený,cr
3404,matoliny,marc
3405,moc,lots
3406,super,tops
3407,alfabetický,alphabetical
3408,chování,behaviour
3409,blogování,blogging
3410,kupovaný,bought
3411,kakáč,jerry
3412,bota,barry
3413,řetízek,albert
3414,boston,boston
3415,továrna,hong
3416,moře,loads
3417,slova,words
3418,lesy,woods
3419,zdroje,sources
3420,čtverek,em
3421,ve,days
3422,osoba,does
3423,záběr,upskirt
3424,skriptovací,javascript
3425,zeštíhlit,jeff
3426,vědomí,lights
3427,golfové,links
3428,písmeno,mem
3429,potřeby,occasions
3430,termostat,stat
3431,náhradníci,tales
3432,slzy,tears
3433,každý,weekends
3434,vy,ye
