block_id,english,category_id
5000,hurt,5
5001,hurry,5
5002,hope,5
5003,home,5
5004,hold,5
5005,high,5
5006,judge,5
5007,its,5
5008,in,5
5009,guess,5
5010,group,5
5011,green,5
5012,good,5
5013,help,5
5014,hard,5
5015,half,5
5016,mine,5
5017,Miss,5
5018,mean,5
5019,May,5
5020,matter,5
5021,match,5
5022,March,5
5023,mail,5
5024,name,5
5025,move,5
5026,mobile,5
5027,laugh,5
5028,leave,5
5029,kiss,5
5030,kind,5
5031,kid,5
5032,kick,5
5033,left,5
5034,love,5
5035,lot,5
5036,look,5
5037,long,5
5038,live,5
5039,little,5
5040,list,5
5041,line,5
5042,like,5
5043,light,5
5044,you are,5
5045,dance,5
5046,cut,5
5047,cry,5
5048,cream,5
5049,cover,5
5050,correct,5
5051,copy,5
5052,cool,5
5053,cook,5
5054,down,5
5055,date,5
5056,design,5
5057,dig,5
5058,check,5
5059,change,5
5060,circle,5
5061,catch,5
5062,care,5
5063,cold,5
5064,coach,5
5065,close,5
5066,clean,5
5067,draw,5
5068,dream,5
5069,dress,5
5070,focus,5
5071,fly,5
5072,flat,5
5073,fish,5
5074,first,5
5075,finish,5
5076,fine,5
5077,file,5
5078,fight,5
5079,fire,5
5080,for,5
5081,future,5
5082,free,5
5083,form,5
5084,front,5
5085,feel,5
5086,end,5
5087,either,5
5088,drop,5
5089,drive,5
5090,drink,5
5091,early,5
5092,fast,5
5093,fair,5
5094,face,5
5095,exercise,5
5096,excuse,5
5097,near,5
5098,need,5
5099,that,5
5100,test,5
5101,talk,5
5102,to,5
5103,throw,5
5104,still,5
5105,step,5
5106,stay,5
5107,start,5
5108,star,5
5109,stand,5
5110,stop,5
5111,spell,5
5112,sweet,5
5113,surprise,5
5114,surf,5
5115,store,5
5116,straight,5
5117,top,5
5118,touch,5
5119,win,5
5120,will,5
5121,whose,5
5122,white,5
5123,which,5
5124,where,5
5125,wind,5
5126,when,5
5127,what,5
5128,well,5
5129,welcome,5
5130,worry,5
5131,work,5
5132,wrong,5
5133,water,5
5134,type,5
5135,turn,5
5136,trip,5
5137,travel,5
5138,train,5
5139,watch,5
5140,wash,5
5141,warm,5
5142,want,5
5143,walk,5
5144,wake,5
5145,vote,5
5146,visit,5
5147,use,5
5148,picture,5
5149,pick,5
5150,phone,5
5151,pay,5
5152,past,5
5153,park,5
5154,pardon,5
5155,place,5
5156,price,5
5157,present,5
5158,post,5
5159,point,5
5160,please,5
5161,play,5
5162,plan,5
5163,now,5
5164,note,5
5165,no,5
5166,paint,5
5167,own,5
5168,outside,5
5169,order,5
5170,open,5
5171,one,5
5172,once,5
5173,on,5
5174,programme,5
5175,shower,5
5176,show,5
5177,short,5
5178,shop,5
5179,ship,5
5180,share,5
5181,set,5
5182,sentence,5
5183,snow,5
5184,smoke,5
5185,smile,5
5186,smell,5
5187,sign,5
5188,sleep,5
5189,review,5
5190,result,5
5191,real,5
5192,rain,5
5193,quiet,5
5194,question,5
5195,ride,5
5196,saw,5
5197,run,5
5198,rule,5
5199,row,5
5200,ring,5
5201,right,5
5202,behind,5
5203,block,5
5204,bat,5
5205,better,5
5206,before,5
5207,board,5
5208,blue,5
5209,bottle,5
5210,bowl,5
5211,best,5
5212,brush,5
5213,bear,5
5214,back,5
5215,break,5
5216,any,5
5217,black,5
5218,after,5
5219,along,5
5220,alone,5
5221,all,5
5222,around,5
5223,brown,5
5224,address,5
5225,as,5
5226,bar,5
5227,below,5
5228,can,5
5229,arm,5
5230,about,5
5231,call,5
5232,above,5
5233,another,5
5234,book,5
5235,camp,5
5236,answer,5
5237,bank,5
5238,cross,5
5239,roll,5
5240,count,5
5241,roast,5
5242,knock,5
5243,cruise,5
5244,stamp,5
5245,rock,5
5246,strike,5
5247,deep,5
5248,influence,5
5249,deal,5
5250,return,5
5251,alright,5
5252,interest,5
5253,budget,5
5254,delay,5
5255,joke,5
5256,issue,5
5257,state,5
5258,jam,5
5259,cost,5
5260,coast,5
5261,sweat,5
5262,bargain,5
5263,click,5
5264,release,5
5265,comic,5
5266,load,5
5267,comb,5
5268,lock,5
5269,alarm,5
5270,regret,5
5271,clear,5
5272,mark,5
5273,chat,5
5274,market,5
5275,male,5
5276,classic,5
5277,claim,5
5278,major,5
5279,barbecue,5
5280,reply,5
5281,lead,5
5282,control,5
5283,contact,5
5284,repair,5
5285,report,5
5286,research,5
5287,stuff,5
5288,land,5
5289,request,5
5290,burn,5
5291,last,5
5292,latter,5
5293,base,5
5294,lie,5
5295,complete,5
5296,support,5
5297,concern,5
5298,rent,5
5299,suit,5
5300,level,5
5301,extra,5
5302,skate,5
5303,express,5
5304,sink,5
5305,graduate,5
5306,fancy,5
5307,fall,5
5308,single,5
5309,slide,5
5310,blame,5
5311,screw,5
5312,screen,5
5313,even,5
5314,slice,5
5315,ski,5
5316,search,5
5317,brake,5
5318,guard,5
5319,exchange,5
5320,except,5
5321,branch,5
5322,fry,5
5323,shock,5
5324,shadow,5
5325,function,5
5326,fool,5
5327,flood,5
5328,float,5
5329,further,5
5330,shape,5
5331,shell,5
5332,force,5
5333,handle,5
5334,bother,5
5335,few,5
5336,female,5
5337,separate,5
5338,fear,5
5339,sense,5
5340,silver,5
5341,feature,5
5342,fit,5
5343,shout,5
5344,final,5
5345,film,5
5346,escape,5
5347,doubt,5
5348,double,5
5349,speed,5
5350,divide,5
5351,bend,5
5352,rush,5
5353,drill,5
5354,sound,5
5355,besides,5
5356,downstairs,5
5357,hug,5
5358,download,5
5359,spread,5
5360,direct,5
5361,increase,5
5362,square,5
5363,round,5
5364,display,5
5365,splash,5
5366,split,5
5367,dislike,5
5368,ruin,5
5369,schedule,5
5370,heat,5
5371,hate,5
5372,scream,5
5373,bite,5
5374,harm,5
5375,hit,5
5376,bill,5
5377,frame,5
5378,pack,5
5379,tip,5
5380,range,5
5381,while,5
5382,murder,5
5383,account,5
5384,view,5
5385,professional,5
5386,model,5
5387,rate,5
5388,rap,5
5389,whole,5
5390,tie,5
5391,tidy,5
5392,notice,5
5393,print,5
5394,quality,5
5395,patient,5
5396,quit,5
5397,wave,5
5398,trick,5
5399,trust,5
5400,average,5
5401,principal,5
5402,act,5
5403,across,5
5404,trouble,5
5405,net,5
5406,award,5
5407,pass,5
5408,trade,5
5409,track,5
5410,adult,5
5411,musical,5
5412,assistant,5
5413,panic,5
5414,part,5
5415,mix,5
5416,upstairs,5
5417,record,5
5418,attack,5
5419,upset,5
5420,tape,5
5421,mention,5
5422,tap,5
5423,tear,5
5424,plenty,5
5425,attempt,5
5426,challenge,5
5427,cause,5
5428,opposite,5
5429,original,5
5430,wonder,5
5431,value,5
5432,offer,5
5433,promise,5
5434,plant,5
5435,public,5
5436,reach,5
5437,text,5
5438,plastic,5
5439,hanging,5
5440,highlight,5
5441,progress,5
5442,score,5
5443,outline,5
5444,process,5
5445,haunt,5
5446,scan,5
5447,scratch,5
5448,service,5
5449,pound,5
5450,general,5
5451,powder,5
5452,arrest,5
5453,praise,5
5454,glint,5
5455,glance,5
5456,blush,5
5457,bold,5
5458,bomb,5
5459,gain,5
5460,plug,5
5461,poison,5
5462,fund,5
5463,guarantee,5
5464,press,5
5465,guide,5
5466,pause,5
5467,grill,5
5468,hammer,5
5469,blend,5
5470,gossip,5
5471,antique,5
5472,grant,5
5473,lean,5
5474,leap,5
5475,monitor,5
5476,remark,5
5477,balance,5
5478,lift,5
5479,beat,5
5480,resident,5
5481,respect,5
5482,resort,5
5483,reserve,5
5484,mount,5
5485,rescue,5
5486,bare,5
5487,register,5
5488,measure,5
5489,medium,5
5490,bang,5
5491,regard,5
5492,liquid,5
5493,link,5
5494,limit,5
5495,mess,5
5496,bark,5
5497,relative,5
5498,objective,5
5499,object,5
5500,appeal,5
5501,mass,5
5502,individual,5
5503,hunt,5
5504,protest,5
5505,benefit,5
5506,safeguard,5
5507,risk,5
5508,iron,5
5509,approach,5
5510,queue,5
5511,rest,5
5512,joint,5
5513,race,5
5514,riddle,5
5515,rise,5
5516,nod,5
5517,initial,5
5518,reward,5
5519,comment,5
5520,commercial,5
5521,supply,5
5522,butcher,5
5523,collapse,5
5524,compromise,5
5525,conduct,5
5526,suspect,5
5527,chase,5
5528,charge,5
5529,chief,5
5530,switch,5
5531,damage,5
5532,cycle,5
5533,stick,5
5534,delight,5
5535,demand,5
5536,decline,5
5537,decrease,5
5538,defeat,5
5539,struggle,5
5540,burst,5
5541,content,5
5542,substitute,5
5543,stream,5
5544,strain,5
5545,criminal,5
5546,counter,5
5547,strip,5
5548,crash,5
5549,burden,5
5550,stress,5
5551,volunteer,5
5552,waste,5
5553,urge,5
5554,update,5
5555,wax,5
5556,wound,5
5557,witness,5
5558,wrap,5
5559,capture,5
5560,yell,5
5561,wire,5
5562,abundant,5
5563,ache,5
5564,whistle,5
5565,whisper,5
5566,whichever,5
5567,access,5
5568,deposit,5
5569,tick,5
5570,tease,5
5571,aid,5
5572,aim,5
5573,twist,5
5574,trace,5
5575,total,5
5576,advance,5
5577,treat,5
5578,transport,5
5579,transfer,5
5580,trail,5
5581,equal,5
5582,sneeze,5
5583,encounter,5
5584,estimate,5
5585,dump,5
5586,broadcast,5
5587,soil,5
5588,breed,5
5589,exit,5
5590,flash,5
5591,flow,5
5592,firm,5
5593,finance,5
5594,format,5
5595,fold,5
5596,shift,5
5597,faint,5
5598,experiment,5
5599,fellow,5
5600,sigh,5
5601,bow,5
5602,bounce,5
5603,dial,5
5604,designer,5
5605,dive,5
5606,desire,5
5607,sponsor,5
5608,prompt,5
5609,project,5
5610,verse,5
5611,squash,5
5612,purchase,5
5613,punch,5
5614,underground,5
5615,upgrade,5
5616,upright,5
5617,yawn,5
5618,retreat,5
5619,stain,5
5620,stroke,5
5621,rebel,5
5622,snore,5
5623,spare,5
5624,surge,5
5625,swing,5
5626,spray,5
5627,quote,5
5628,quarrel,5
5629,rape,5
5630,slap,5
5631,extract,5
5632,executive,5
5633,drain,5
5634,divorce,5
5635,ease,5
5636,bolt,5
5637,grip,5
5638,blaze,5
5639,blast,5
5640,bloody,5
5641,boost,5
5642,bookmark,5
5643,concrete,5
5644,commission,5
5645,converse,5
5646,contract,5
5647,cast,5
5648,buzz,5
5649,disguise,5
5650,crack,5
5651,debit,5
5652,dash,5
5653,darling,5
5654,damn,5
5655,neither,5
5656,awe,5
5657,attribute,5
5658,mutter,5
5659,ban,5
5660,peel,5
5661,pitch,5
5662,implement,5
5663,imperative,5
5664,hijack,5
5665,humble,5
5666,leak,5
5667,manual,5
5668,manufacture,5
5669,insult,5
5670,intellectual,5
5671,lark,5
5672,honk,5
5673,quip,5
5674,obscure,5
5675,lapse,5
5676,twitch,5
5677,bribe,5
5678,gape,5
5679,clutch,5
5680,grounds,5
5681,tinker,5
5682,chill,5
5683,torment,5
5684,elaborate,5
5685,con,5
5686,dismay,5
5687,rumble,5
5688,sacrifice,5
5689,plaster,5
5690,plunge,5
5691,charter,5
5692,sprout,5
5693,envisage,5
5694,numb,5
5695,hack,5
5696,rustle,5
5697,stray,5
5698,slack,5
5699,tangle,5
5700,relapse,5
5701,batter,5
5702,prop,5
5703,gush,5
5704,strap,5
5705,convict,5
5706,fiddle,5
5707,recess,5
5708,fanatic,5
5709,premier,5
5710,echo,5
5711,brood,5
5712,blight,5
5713,quiver,5
5714,dribble,5
5715,huddle,5
5716,trifle,5
5717,rebuke,5
5718,diffuse,5
5719,repose,5
5720,conjecture,5
5721,merit,5
5722,herald,5
5723,rebound,5
5724,perch,5
